,scientific,common
11329,N=Halichondria okadai,C=Marine sponge
11330,N=Halothece sp. (strain PCC 7418),unknown
11331,N=Halichondria panicea,C=Breadcrumb sponge
11332,N=Halostella pelagica,unknown
11333,N=Halogeometricum pallidum,unknown
11334,N=Haliaeetus pelagicus,C=Steller's sea-eagle
11335,N=Halanaerobium praevalens (strain ATCC 33744 / DSM 2228 / GSL),unknown
11336,N=Halomitra pileus,C=Bowl coral
11337,N=Halcyon pileata,C=Black-capped kingfisher
11338,N=Halocynthia papillosa,C=Red sea-squirt
11339,N=Halanaerobium praevalens,unknown
11340,N=Haloferax prahovense (strain DSM 18310 / JCM 13924 / TL6),unknown
11341,N=Haladaptatus paucihalophilus,unknown
11342,N=Haliotis roei,C=Roe's abalone
11343,N=Halictus rubicundus,C=Social sweat bee
11344,N=Halocynthia roretzi,C=Sea squirt
11345,N=Halocaridina rubra,C=Hawaiian red shrimp
11346,N=Haliotis rufescens,C=California red abalone
11347,N=Halovivax ruber (strain DSM 18193 / JCM 13892 / XH-70),unknown
11348,N=Haloferax sp. (strain Q22),unknown
11349,N=Halobacterium sp. (strain aus-2),unknown
11350,N=Halobacterium salinarum (strain ATCC 29341 / DSM 671 / R1),unknown
11351,N=Haloterrigena sp. (strain arg-4),unknown
11352,N=Haloarchaeon S8a,unknown
11353,N=Halobacterium salinarum (strain ATCC 33171 / DSM 3754 / JCM 8978 / NBRC 102687 / NCIMB 764 / 91-R6),unknown
11354,N=Halobacterium salinarum (strain ATCC 700922 / JCM 11081 / NRC-1),unknown
11355,N=Haloferax sp.,unknown
11356,N=Haloarcula sp.,unknown
11357,N=Halorubrum sodomense,unknown
11358,N=Halochromatium salexigens,unknown
11359,N=Halocynthia spinosa,C=Spiny ascidian
11360,N=Haloredivivus sp. (strain G17),unknown
11361,N=Haloplanus natans (strain DSM 17983 / JCM 14081 / CGMCC 1.8972 / RE-101),unknown
11362,N=Halobacterium salinarum,unknown
11363,N=Halobacterium sp. (strain GN101),unknown
11364,N=Haliotis sorenseni,C=White abalone
11365,N=Halobacterium sp.,unknown
11366,N=Haloarcula sp. (strain arg-2 / Andes heights),unknown
11367,N=Halobacterium sp. (strain SG1),unknown
11368,N=Halictus sexcinctus,C=Six-banded furrow bee
11369,N=Halomonas sp.,unknown
11370,N=Halysidota tessellaris,C=Banded tussock moth
11371,N=Halichoeres trimaculatus,C=Three-spot wrasse
11372,N=Haliotis tuberculata,C=Green ormer
11373,N=Haloterrigena turkmenica (strain ATCC 51198 / DSM 5511 / JCM 9101 / NCIMB 13204 / VKM B-1734 / 4k),unknown
11374,N=Halorhabdus utahensis (strain DSM 12940 / JCM 11049 / AX-2),unknown
11375,N=Haloarcula vallismortis,unknown
11376,N=Haliaeetus vocifer,C=African fish-eagle
11377,N=Haloferax volcanii (strain ATCC 29605 / DSM 3757 / JCM 8879 / NBRC 14742 / NCIMB 2012 / VKM B-1768 / DS2),unknown
11378,N=Haloferax volcanii,unknown
11379,N=Haliotis varia,C=Variable abalone
11380,N=Halorubrum vacuolatum,unknown
11381,N=Haliotis walallensis,C=Flat abalone
11382,N=Haloquadratum walsbyi (strain DSM 16854 / JCM 12705 / C23),unknown
11383,N=Haloquadratum walsbyi (strain DSM 16790 / HBSQ001),unknown
11384,N=Halopiger xanaduensis (strain DSM 18323 / JCM 14033 / SH-6),unknown
11385,N=Halomonas zhaodongensis,unknown
11386,N=Hampea appendiculata,unknown
11387,N=Hamiltonella defensa subsp. Acyrthosiphon pisum (strain 5AT),unknown
11388,N=Hamadryas epinome,C=Epinome cracker butterfly
11389,N=Hammondia hammondi,C=Parasitic protozoan
11390,N=Hammondia heydorni,C=Coccidian parasite
11391,N=Hamamelis japonica,C=Japanese witch hazel
11392,N=Hamamelis mollis,C=Chinese witch hazel
11393,N=Hamamelis virginiana,C=Witch-hazel
11394,N=Hantaan virus (strain B-1),unknown
11395,N=Hantaan virus (strain Hojo),C=Hojo virus
11396,N=Hantaan virus (strain Lee),C=Lee virus
11397,N=Hantaan virus (strain 76-118),unknown
11398,N=Hannoa undulata,unknown
11399,N=Hanseniaspora uvarum,C=Yeast
11400,N=Handelsmanbacteria sp. (strain RIFCSPLOWO2_12_FULL_64_10),unknown
11401,N=Hapalemur aureus,C=Golden bamboo lemur
11402,N=Haploplasma axanthum,unknown
11403,N=Haploperla brevis,C=Stonefly
11404,N=Haplochromis burtoni,C=Burton's mouthbrooder
11405,N=Hapalogaster dentata,C=Stone crab
11406,N=Haplonycteris fischeri,C=Philippine pygmy fruit bat
11407,N=Hapalemur griseus,C=Gray gentle lemur
11408,N=Haptolina hirta,C=Plankton alga
11409,N=Haplomitrium hookeri,C=Hooker's flapwort
11410,N=Hapsidospora irregularis,unknown
11411,N=Haploa lecontei,C=Leconte's haploa moth
11412,N=Hapalochlaena maculosa,C=Southern blue-ringed octopus
11413,N=Hapalogaster mertensii,C=Hairy crab
11414,N=Haplophryne mollis,C=Soft leafvent angler
11415,N=Haplochromis nubilus,C=Blue Victoria mouthbrooder
11416,N=Haploniscus rostratus,C=Isopod
11417,N=Haplodrassus signifer,C=Spider
11418,N=Halorubrum pleomorphic virus 1,C=HRPV-1
11419,N=Haplochromis xenognathus,C=Lake Victoria cichlid
11420,N=Harpalus affinis,C=Ground beetle
11421,N=Harpagifer antarcticus,C=Antarctic spiny plunderfish
11422,N=Harpactes ardens,C=Philippine trogon
11423,N=Harmonia axyridis,C=Multicolored Asian lady beetle
11424,N=Hartmannella cantabrigiensis,C=Amoeba
11425,N=Haritalodes derogata,C=Cotton leaf roller moth
11426,N=Harpactes diardii,C=Diard's trogon
11427,N=Harpactes erythrocephalus,C=Red-headed trogon
11428,N=Harpiocephalus harpia,C=Hairy-winged bat
11429,N=Harpalus herbivagus,C=Ground beetle
11430,N=Harmothoe imbricata,C=Fifteen-scaled worm
11431,N=Harengula jaguana,C=Scaled sardine
11432,N=Harpadon microchir,C=Smallfinned Bombay duck fish
11433,N=Harpiocephalus mordax,C=Greater hairy-winged bat
11434,N=Heterosigma akashiwo RNA virus (strain SOG263),C=HaRNAV
11435,N=Harpadon nehereus,C=Bombay duck fish
11436,N=Harmonia quadripunctata,C=Cream-streaked ladybird beetle
11437,N=Harriotta raleighana,C=Pacific longnose chimaera
11438,N=Harpalus rufipes,C=Strawberry seed beetle
11439,N=Harpegnathos saltator,C=Jerdon's jumping ant
11440,N=Havel river virus,C=HaRV
11441,N=Harpyionycteris whiteheadi,C=Harpy fruit bat
11442,N=Hasora anura,C=Slate awl
11443,N=Hasora chromus,C=Common banded awl
11444,N=Hastula hectica,C=Sea snail
11445,N=Hasemania nana,C=Silvertip tetra
11446,N=Haslea ostrearia,C=Marine diatom
11447,N=Helicoverpa armigera stunt virus,C=HaSV
11448,N=Human astrovirus-1,C=HAstV-1
11449,N=Human astrovirus-2,C=HAstV-2
11450,N=Human astrovirus-3,C=HAstV-3
11451,N=Human astrovirus-4,C=HAstV-4
11452,N=Human astrovirus-5,C=HAstV-5
11453,N=Human astrovirus-6,C=HAstV-6
11454,N=Human astrovirus-7,C=HAstV-7
11455,N=Human astrovirus-8,C=HAstV-8
11456,N=Hasora vitta,C=Plain banded awl
11457,N=Hatena arenicola,C=Flagellate
11458,N=Hathewaya histolytica,unknown
11459,N=Hathewaya limosa,unknown
11460,N=Heterosigma akashiwo virus 01,C=HaV01
11461,N=Heterosigma akashiwo virus 01 (strain Japan/Unoshima Port/HaV01/1996),C=HaV01
11462,N=Human hepatitis A virus genotype IIB (isolate SLF88),C=HHAV
11463,N=Human hepatitis A virus genotype IIA (isolate CF-53),C=HHAV
11464,N=Human hepatitis A virus genotype IA (isolate CR326),C=HHAV
11465,N=Human hepatitis A virus genotype IIIA (isolate GA76),C=HHAV
11466,N=Human hepatitis A virus genotype IA (isolate GBM),C=HHAV
11467,N=Human hepatitis A virus genotype IA (isolate H2),C=HHAV
11468,N=Human hepatitis A virus genotype IA (isolate HAS-15),C=HHAV
11469,N=Human hepatitis A virus genotype IB (isolate HM175),C=HHAV
11470,N=Human hepatitis A virus genotype IIIB (isolate HAJ85-1),C=HHAV
11471,N=Human hepatitis A virus genotype IA (isolate LA),C=HHAV
11472,N=Human hepatitis A virus genotype IA (isolate LCDC-1),C=HHAV
11473,N=Human hepatitis A virus genotype IB (isolate MBB),C=HHAV
11474,N=Human hepatitis A virus genotype IIIA (isolate NOR-21),C=HHAV
11475,N=Simian hepatitis A virus genotype V (isolate AGM-27),C=SHAV
11476,N=Simian hepatitis A virus genotype IV (isolate CY-145),C=SHAV
11477,N=Simian hepatitis A virus genotype VI (isolate JM55),C=SHAV
11478,N=Hazenia basiliensis,C=Green alga
11479,N=Hazara virus (isolate JC280),unknown
11480,N=Primate bocaparvovirus 1 (strain Human bocavirus 1 type 1),C=HBoV1
11481,N=Human bocavirus 2,C=HBoV2
11482,N=Human bocavirus 3,C=HBoV3
11483,N=Human bocavirus 4,C=HBoV4
11484,N=Hepatitis B virus,C=HBV
11485,N=Hepatitis B virus genotype A1 subtype adw2 (isolate Southern-Africa/Cai),C=HBV-A
11486,N=Hepatitis B virus genotype A2 subtype adw (isolate Japan/Nishioka/1983),C=HBV-A
11487,N=Hepatitis B virus genotype A2 subtype adw2 (strain Rutter 1979),C=HBV-A
11488,N=Hepatitis B virus genotype A2 subtype adw2 (isolate Germany/991/1990),C=HBV-A
11489,N=Hepatitis B virus genotype A1 subtype adw (isolate Philippines/pFDW294/1988),C=HBV-A
11490,N=Hepatitis B virus genotype A1 subtype adw2 (isolate South Africa/84/2001),C=HBV-A
11491,N=Hepatitis B virus genotype A2 (isolate Japan/11D11HCCW/1998),C=HBV-A
11492,N=Hepatitis B virus genotype A3 (isolate Cameroon/CMR983/1994),C=HBV-A
11493,N=Hepatitis B virus genotype A3 (isolate Cameroon/CMR711/1994),C=HBV-A
11494,N=Hepatitis B virus subtype adw,C=HBV
11495,N=Hepatitis B virus genotype B1 subtype adw (isolate Japan/pJDW233/1988),C=HBV-B
11496,N=Hepatitis B virus genotype B2 (isolate Indonesia/pIDW420/1988),C=HBV-B
11497,N=Hepatitis B virus genotype B2 (isolate Vietnam/9873/1997),C=HBV-B
11498,N=Hepatitis B virus genotype B/C subtype adw (isolate Okinawa/pODW282/1998),C=HBV-B
11499,N=Hepatitis B virus genotype B2 (isolate Vietnam/16091/1992),C=HBV-B
11500,N=Hepatitis B virus genotype B2 subtype adw (isolate China/patient4/1996),C=HBV-B
11501,N=Hepatitis B virus genotype B1 (isolate Japan/Yamagata-2/1998),C=HBV-B
11502,N=Hepatitis B virus genotype B1 (isolate Japan/Ry30/2002),C=HBV-B
11503,N=Hepatitis B virus genotype C (isolate Vietnam/3270/2000),C=HBV-C
11504,N=Hepatitis B virus genotype C subtype adr (isolate Japan/Nishioka/1983),C=HBV-C
11505,N=Hepatitis B virus genotype C subtype ar (isolate Japan/S-207/1988),C=HBV-C
11506,N=Hepatitis B virus genotype C subtype adr (strain Japan/adr4/1983),C=HBV-C
11507,N=Hepatitis B virus genotype C subtype adr (isolate Korea/Kim/1989),C=HBV-C
11508,N=Hepatitis B virus genotype C subtype ad (isolate Japan/S-179/1988),C=HBV-C
11509,N=Hepatitis B virus genotype C subtype adr (isolate China/NC-1/1988),C=HBV-C
11510,N=Hepatitis B virus genotype C subtype ayw (isolate China/Tibet127/2002),C=HBV-C
11511,N=Hepatitis B virus genotype C subtype adr (isolate Japan/A4/1994),C=HBV-C
11512,N=Hepatitis B virus genotype C subtype ayw (isolate Australia/AustRC/1992),C=HBV-C
11513,N=Hepatitis B virus genotype C subtype ayr (isolate Human/Japan/Okamoto/-),C=HBV-C
11514,N=Chimpanzee hepatitis B virus (isolate United Kingdom/LSH/1988),C=HBVcpz
11515,N=Hepatitis B virus genotype C subtype ayr,C=HBV-C
11516,N=Hepatitis B virus genotype D subtype adw (isolate United Kingdom/adyw/1979),C=HBV-D
11517,N=Hepatitis B virus genotype D (isolate France/alpha1/1989),C=HBV-D
11518,N=Hepatitis B virus genotype D subtype ayw (isolate France/Tiollais/1979),C=HBV-D
11519,N=Hepatitis B virus genotype D subtype ayw (isolate Japan/JYW796/1988),C=HBV-D
11520,N=Hepatitis B virus genotype D subtype ayw (isolate Australia/AustKW/1991),C=HBV-D
11521,N=Hepatitis B virus genotype D subtype ayw (isolate Italy/CI/1992),C=HBV-D
11522,N=Hepatitis B virus genotype D (isolate Germany/1-91/1991),C=HBV-D
11523,N=Hepatitis B virus subtype adr,C=HBV
11524,N=Hepatitis B virus genotype E subtype ayw4 (isolate Kou),C=HBV-E
11525,N=Hepatitis B virus genotype E (isolate Cote d'Ivoire/ABI-129/2003),C=HBV-E
11526,N=Hepatitis B virus genotype E (isolate Chimpanzee/Ch195/1999),C=HBV-E
11527,N=Hepatitis B virus genotype E (isolate Cote d'Ivoire/ABI-212/2003),C=HBV-E
11528,N=Hepatitis B virus genotype F2 (isolate Brazil/w4B),C=HBV-F
11529,N=Hepatitis B virus genotype F1 subtype adw4 (isolate El Salvador/1116Sal/1997),C=HBV-F
11530,N=Hepatitis B virus genotype F1 (isolate Argentina/sa11/2000),C=HBV-F
11531,N=Hepatitis B virus genotype F2 (isolate Argentina/sa16/2000),C=HBV-F
11532,N=Hepatitis B virus genotype F2 (isolate Venezuela/VNZ8248-1/1980),C=HBV-F
11533,N=Hepatitis B virus genotype F2 subtype adw4q (isolate Senegal/9203),C=HBV-F
11534,N=Hepatitis B virus genotype G subtype adw2 (isolate United States/sf/1990),C=HBV-G
11535,N=Hepatitis B virus genotype G (isolate United States/USG17/2002),C=HBV-G
11536,N=Hepatitis B virus genotype G (isolate IG29227/2000),C=HBV-G
11537,N=Gibbon hepatitis B virus subtype ayw3q (isolate Hope),C=HBVgbn
11538,N=Gorilla hepatitis B virus (isolate Cameroon/gor97),C=HBVgor
11539,N=Hepatitis B virus genotype H (isolate United States/LAS2523/2002),C=HBV-H
11540,N=Hepatitis B virus genotype H subtype adw4 (isolate Nicaragua/1853Nic/1997),C=HBV-H
11541,N=Hepatitis B virus genotype H subtype adw4 (isolate Nicaragua/2928Nic/1997),C=HBV-H
11542,N=Orangutan hepatitis B virus (isolate Somad),C=HBVoru
11543,N=Human cytomegalovirus,C=HHV-5
11544,N=Human cytomegalovirus (strain 119),C=HHV-5
11545,N=Human cytomegalovirus (strain 1042),C=HHV-5
11546,N=Human cytomegalovirus (strain 2387),C=HHV-5
11547,N=Human cytomegalovirus (strain 4654),C=HHV-5
11548,N=Human cytomegalovirus (strain 5035),C=HHV-5
11549,N=Human cytomegalovirus (strain 5040),C=HHV-5
11550,N=Human cytomegalovirus (strain 5160),C=HHV-5
11551,N=Human cytomegalovirus (strain 5508),C=HHV-5
11552,N=Human cytomegalovirus (strain AD169),C=HHV-5
11553,N=Human cytomegalovirus (strain Eisenhardt),C=HHV-5
11554,N=Human cytomegalovirus (strain Merlin),C=HHV-5
11555,N=Human cytomegalovirus (strain Toledo),C=HHV-5
11556,N=Human cytomegalovirus (strain PT),C=HHV-5
11557,N=Human cytomegalovirus (strain Towne),C=HHV-5
11558,N=Heterocapsa circularisquama RNA virus 01 (strain 34),C=HcRNAV01
11559,N=Heterocapsa circularisquama DNA virus 01,C=HcDNAV01
11560,N=Hepatitis C virus genotype 1a (isolate 1),C=HCV
11561,N=Hepatitis C virus genotype 6a (isolate 6a33),C=HCV
11562,N=Hepatitis C virus genotype 1a (isolate H77),C=HCV
11563,N=Hepatitis C virus genotype 2c (isolate BEBE1),C=HCV
11564,N=Hepatitis C virus genotype 1b (isolate BK),C=HCV
11565,N=Hepatitis C virus genotype 1b (isolate Con1),C=HCV
11566,N=Hepatitis C virus (isolate EC10),C=HCV
11567,N=Hepatitis C virus (isolate EC1),C=HCV
11568,N=Hepatitis C virus genotype 4a (isolate ED43),C=HCV
11569,N=Hepatitis C virus genotype 6a (isolate EUHK2),C=HCV
11570,N=Hepatitis C virus genotype 5a (isolate EUH1480),C=HCV
11571,N=Hepatitis C virus (isolate Glasgow),C=HCV
11572,N=Hepatitis C virus genotype 1a (isolate H),C=HCV
11573,N=Hepatitis C virus (isolate HCV-476),C=HCV
11574,N=Hepatitis C virus (isolate HCT27),C=HCV
11575,N=Hepatitis C virus (isolate HCT18),C=HCV
11576,N=Hepatitis C virus genotype 1c (isolate HC-G9),C=HCV
11577,N=Hepatitis C virus (isolate HCV-KF),C=HCV
11578,N=Hepatitis C virus genotype 1c (isolate India),C=HCV
11579,N=Hepatitis C virus genotype 1b (isolate HC-J1),C=HCV
11580,N=Hepatitis C virus (isolate HC-J2),C=HCV
11581,N=Hepatitis C virus genotype 1b (strain HC-J4),C=HCV
11582,N=Hepatitis C virus (isolate HC-J5),C=HCV
11583,N=Hepatitis C virus genotype 2a (isolate HC-J6),C=HCV
11584,N=Hepatitis C virus (isolate HC-J7),C=HCV
11585,N=Hepatitis C virus genotype 2b (isolate HC-J8),C=HCV
11586,N=Hepatitis C virus genotype 1b (isolate Japanese),C=HCV
11587,N=Hepatitis C virus genotype 2a (isolate JFH-1),C=HCV
11588,N=Hepatitis C virus genotype 3k (isolate JK049),C=HCV
11589,N=Hepatitis C virus genotype 6g (isolate JK046),C=HCV
11590,N=Hepatitis C virus genotype 2b (isolate JPUT971017),C=HCV
11591,N=Hepatitis C virus genotype 1b (isolate HC-JT),C=HCV
11592,N=Hepatitis C virus genotype 3a (isolate k3a),C=HCV
11593,N=Hepatitis C virus genotype 1b (isolate HC-N1),C=HCV
11594,N=Hepatitis C virus genotype 1b (isolate HC-N2),C=HCV
11595,N=Hepatitis C virus genotype 1b (isolate HC-N3),C=HCV
11596,N=Hepatitis C virus genotype 1b (isolate HC-N4),C=HCV
11597,N=Hepatitis C virus genotype 1b (isolate HC-N5),C=HCV
11598,N=Hepatitis C virus genotype 1b (isolate HC-N6),C=HCV
11599,N=Hepatitis C virus genotype 2a (isolate HC-N7),C=HCV
11600,N=Hepatitis C virus genotype 2b (isolate HC-N8),C=HCV
11601,N=Hepatitis C virus genotype 3a (isolate NZL1),C=HCV
11602,N=Hepatitis C virus genotype 1b (isolate HCR6),C=HCV
11603,N=Hepatitis C virus genotype 1b (isolate HC-S1),C=HCV
11604,N=Hepatitis C virus genotype 1b (isolate HC-S2),C=HCV
11605,N=Hepatitis C virus genotype 1b (isolate HC-S3),C=HCV
11606,N=Hepatitis C virus genotype 1b (isolate HC-S4),C=HCV
11607,N=Hepatitis C virus genotype 5a (isolate SA13),C=HCV
11608,N=Hepatitis C virus genotype 6b (isolate Th580),C=HCV
11609,N=Hepatitis C virus (isolate TH),C=HCV
11610,N=Hepatitis C virus genotype 3b (isolate Tr-Kj),C=HCV
11611,N=Hepatitis C virus genotype 1b (isolate Taiwan),C=HCV
11612,N=Hepatitis C virus genotype 2k (isolate VAT96),C=HCV
11613,N=Hepatitis C virus genotype 6d (isolate VN235),C=HCV
11614,N=Hepatitis C virus genotype 6k (isolate VN405),C=HCV
11615,N=Hepatitis C virus genotype 6h (isolate VN004),C=HCV
11616,N=Human associated cyclovirus 1 (isolate Homo sapiens/Pakistan/PK5510/2007),C=HuCyV-1
11617,N=Hepatitis delta virus,C=HDV
11618,N=Hepatitis delta virus genotype I (isolate HDV/Human/Central African Republic/FH27/1985),C=HDV
11619,N=Hepatitis delta virus genotype II (isolate 7/18/83),C=HDV
11620,N=Hepatitis delta virus genotype I (isolate American),C=HDV
11621,N=Hepatitis delta virus genotype I (isolate D380),C=HDV
11622,N=Hepatitis delta virus genotype I (isolate Italian),C=HDV
11623,N=Hepatitis delta virus genotype I (isolate Lebanon-1),C=HDV
11624,N=Hepatitis delta virus genotype I (isolate Japanese M-1),C=HDV
11625,N=Hepatitis delta virus genotype I (isolate Japanese M-2),C=HDV
11626,N=Hepatitis delta virus genotype I (isolate Nauru),C=HDV
11627,N=Hepatitis delta virus genotype III (isolate Peru-1),C=HDV
11628,N=Hepatitis delta virus genotype II (isolate Japanese S-1),C=HDV
11629,N=Hepatitis delta virus genotype I (isolate Japanese S-2),C=HDV
11630,N=Hepatitis delta virus genotype II (isolate TW2476),C=HDV
11631,N=Hepatitis delta virus genotype I (isolate US-2),C=HDV
11632,N=Hepatitis delta virus genotype III (isolate VnzD8624),C=HDV
11633,N=Hepatitis delta virus genotype III (isolate VnzD8349),C=HDV
11634,N=Hepatitis delta virus genotype III (isolate VnzD8375),C=HDV
11635,N=Hepatitis delta virus genotype I (isolate Woodchuck),C=HDV
11636,N=Human enterovirus 70 (strain J670/71),C=EV70
11637,N=Human enterovirus 71,C=EV71
11638,N=Human enterovirus 71 (strain USA/BrCr/1970),C=EV71
11639,N=Human enterovirus 71 (strain 7423/MS/87),C=EV71
11640,N=Hebeloma cylindrosporum,unknown
11641,N=Hebomoia glaucippe,C=Great orangetip butterfly
11642,N=Human enterovirus D68,C=EV68
11643,N=Hedera algeriensis,C=Algerian ivy
11644,N=Hedwigia ciliata,C=Ciliate hedwigia moss
11645,N=Hedychium coronarium,C=White butterfly ginger-lily
11646,N=Hediste diversicolor,C=Sandworm
11647,N=Hedychium flavescens,C=Yellow ginger-lily
11648,N=Hedychium flavum,C=Ginger-lily
11649,N=Hedychium gardnerianum,C=Kahili ginger lily
11650,N=Hedera helix,C=English ivy
11651,N=Hediste japonica,C=Polychaete worm
11652,N=Heimdallarchaeota archaeon (strain B3-JM-08),unknown
11653,N=Heimyscus fumosus,C=African smoky mouse
11654,N=Heimdallarchaeota archaeon (strain LC_2),unknown
11655,N=Heisteria parvifolia,unknown
11656,N=Helenium autumnale,C=Common sneezeweed
11657,N=Heliotropium arborescens,C=Garden heliotrope
11658,N=Helicobacter acinonychis,unknown
11659,N=Helicops angulatus,C=South American water snake
11660,N=Helicobacter acinonychis (strain Sheeba),unknown
11661,N=Heliocheilus albipunctella,C=Millet head miner
11662,N=Helicoverpa armigera,C=Cotton bollworm
11663,N=Helianthus annuus,C=Common sunflower
11664,N=Heliophobius argenteocinereus,C=Silvery mole rat
11665,N=Heliofungia actiniformis,C=Mushroom coral
11666,N=Helicoverpa assulta,C=Oriental tobacco budworm
11667,N=Helicolenus avius,C=Rockfish
11668,N=Heliothryx barroti,C=Purple-crowned fairy
11669,N=Helicobacter bizzozeronii (strain CIII-1),unknown
11670,N=Heligmosomoides bakeri,C=Parasitic nematode
11671,N=Helenium bigelovii,C=Bigelow's sneezeweed
11672,N=Helicobacter bizzozeronii,unknown
11673,N=Helicopsyche borealis,C=Caddisfly
11674,N=Helonias bullata,C=Swamp pink
11675,N=Helicobacter cetorum (strain ATCC BAA-429 / MIT 00-7128),unknown
11676,N=Heliconius charithonia,C=Zebra longwing butterfly
11677,N=Heliobacterium chlorum,unknown
11678,N=Helicobacter cetorum (strain ATCC BAA-540 / MIT 99-5656),unknown
11679,N=Helicobacter cinaedi (strain PAGU611),unknown
11680,N=Heliocidaris crassispina,C=Sea urchin
11681,N=Heliconius cydno,C=Cydno longwing butterfly
11682,N=Helicolenus dactylopterus,C=Blackbelly rosefish
11683,N=Helianthus debilis,C=Beach sunflower
11684,N=Heliocheilus discalis,C=Moth
11685,N=Helianthus divaricatus,C=Woodland sunflower
11686,N=Heliconius erato,C=Crimson patched longwing butterfly
11687,N=Heliconius eleuchia,C=Eleuchia longwing butterfly
11688,N=Heliocidaris erythrogramma,C=Sea urchin
11689,N=Helobdella europaea,C=Leech
11690,N=Helicobacter felis (strain ATCC 49179 / NCTC 12436 / CS1),unknown
11691,N=Helicobacter felis,unknown
11692,N=Helichrysum foetidum,C=Stinking strawflower
11693,N=Heliomaster furcifer,C=Blue-tufted starthroat
11694,N=Heliomicrobium gestii,unknown
11695,N=Helicoverpa gelotopoeon,unknown
11696,N=Hellenia globosa,C=Spiral ginger
11697,N=Helianthus grosseserratus,C=Sawtooth sunflower
11698,N=Heliothrips haemorrhoidalis,C=Greenhouse thrips
11699,N=Heliconius hecale,C=Tiger longwing butterfly
11700,N=Helicobacter heilmannii,unknown
11701,N=Helogale hirtula,C=Desert dwarf mongoose
11702,N=Helictochloa hookeri,C=Spikeoat
11703,N=Helicolenus hilgendorfi,C=Hilgendorf's saucord
11704,N=Heloderma horridum horridum,C=Mexican beaded lizard
11705,N=Helicobacter hepaticus (strain ATCC 51449 / 3B1),unknown
11706,N=Heloderma horridum,C=Mexican beaded lizard
11707,N=Helicobacter hepaticus,unknown
11708,N=Heliothis peltigera,C=Bordered straw moth
11709,N=Helichrysum petiolare,C=Licorice-plant
11710,N=Helichrysum italicum,C=Curry-plant
11711,N=Helix lucorum,C=Snail
11712,N=Helicobacter mustelae (strain ATCC 43772 / LMG 18044 / NCTC 12198 / 12198),unknown
11713,N=Helarctos malayanus,C=Malayan sun bear
11714,N=Heliconius melpomene,C=Postman butterfly
11715,N=Heliobacterium modesticaldum (strain ATCC 51547 / Ice1),unknown
11716,N=Heliobacterium mobile,unknown
11717,N=Helicobacter mustelae,unknown
11718,N=Helianthus maximiliani,C=Maximilian sunflower
11719,N=Heliconius numata,C=Numata longwing butterfly
11720,N=Heliamphora nutans,C=Venezuelan marsh pitcher plant
11721,N=Helicobacter pylori (strain 51),unknown
11722,N=Helicobacter pylori (strain P12),unknown
11723,N=Helicobacter pylori (strain B8),unknown
11724,N=Helicobacter pylori (strain Gambia94/24),unknown
11725,N=Helicobacter pylori (strain 52),unknown
11726,N=Helicobacter pylori (strain India7),unknown
11727,N=Helicobacter pylori (strain B128),unknown
11728,N=Helicobacter pylori (strain 908),unknown
11729,N=Helogale parvula,C=Common dwarf mongoose
11730,N=Helicobacter pylori (strain B38),unknown
11731,N=Helicobacter pylori (strain Cuz20),unknown
11732,N=Helophilus pendulus,C=Hoverfly
11733,N=Helianthus petiolaris,C=Prairie sunflower
11734,N=Helicobacter pylori (strain 35A),unknown
11735,N=Helicobacter pylori (strain G27),unknown
11736,N=Helicobacter pylori (strain HPAG1),unknown
11737,N=Helicobacter pylori (strain F16),unknown
11738,N=Helicobacter pylori (strain J99 / ATCC 700824),unknown
11739,N=Helicobacter pylori (strain F30),unknown
11740,N=Helicobacter pylori (strain F32),unknown
11741,N=Helicobacter pylori (strain SJM180),unknown
11742,N=Helicoverpa punctigera,C=Australian bollworm
11743,N=Helix pomatia,C=Roman snail
11744,N=Helicobacter pylori (strain PeCan4),unknown
11745,N=Helicobacter pylori (strain F57),unknown
11746,N=Helicobacter pylori (strain Lithuania75),unknown
11747,N=Helicobacter pylori (strain Shi470),unknown
11748,N=Helicobacter pylori (strain Sat464),unknown
11749,N=Helleborus purpurascens,C=Purple hellebore
11750,N=Helicobacter pylori (strain v225d),unknown
11751,N=Helicobacter pylori (strain SouthAfrica7),unknown
11752,N=Helicobacter pylori,unknown
11753,N=Helicobacter pylori (strain ATCC 700392 / 26695),unknown
11754,N=Heligmosomoides polygyrus,C=Parasitic roundworm
11755,N=Heleophryne regis,C=Royal ghost frog
11756,N=Helobdella robusta,C=Californian leech
11757,N=Heliconia rostrata,C=Lobster claw
11758,N=Heliosciurus ruwenzorii,C=Ruwenzori sun squirrel
11759,N=Heliconius sara,C=Sara longwing butterfly
11760,N=Heliothis subflexa,C=Subflexus straw moth
11761,N=Heloderma suspectum cinctum,C=Banded Gila monster
11762,N=Helicosporidium sp. subsp. Simulium jonesii,C=Green alga
11763,N=Hellenia speciosa,C=Crepe ginger
11764,N=Heloderma suspectum suspectum,C=Reticulate Gila monster
11765,N=Helobdella stagnalis,C=Leech
11766,N=Heloderma suspectum,C=Gila monster
11767,N=Heliocidaris tuberculata,C=Sea urchin
11768,N=Helobdella triserialis,C=Leech
11769,N=Helianthus tuberosus,C=Jerusalem artichoke
11770,N=Heliosciurus undulatus,C=Zanj sun squirrel
11771,N=Helmitheros vermivorum,C=Worm-eating warbler
11772,N=Heliothis virescens,C=Tobacco budworm moth
